{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 5, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map5_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map5_use_dist
Episode:  1 controlled agent:  1 ; Episode Return:  -635.0243866176395 ; win rate(controlled & opponent):  1.00 0.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -1008.6833329081865 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 1
Episode:  3 controlled agent:  1 ; Episode Return:  -1010.6833329081865 ; win rate(controlled & opponent):  0.67 0.33 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -878.3574311003815 ; win rate(controlled & opponent):  0.75 0.25 ; Trained episode: 2
Episode:  5 controlled agent:  1 ; Episode Return:  -872.6467529817262 ; win rate(controlled & opponent):  0.80 0.20 ; Trained episode: 3
Episode:  6 controlled agent:  1 ; Episode Return:  -949.4600282048247 ; win rate(controlled & opponent):  0.67 0.33 ; Trained episode: 4
Episode:  7 controlled agent:  1 ; Episode Return:  -1258.8914857099003 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 4
Episode:  8 controlled agent:  1 ; Episode Return:  -1170.0508652763342 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 4
Episode:  9 controlled agent:  1 ; Episode Return:  -398.65685424949237 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 4
Episode:  10 controlled agent:  1 ; Episode Return:  -748.9310242291883 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 5
Episode:  11 controlled agent:  1 ; Episode Return:  -1282.0041840821086 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 6
Episode:  12 controlled agent:  1 ; Episode Return:  -1287.2884553295708 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 6
Episode:  13 controlled agent:  1 ; Episode Return:  -1113.3523804664987 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 6
Episode:  14 controlled agent:  1 ; Episode Return:  -824.1025971044421 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 6
Episode:  15 controlled agent:  1 ; Episode Return:  -1239.3889603929592 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 6
Episode:  16 controlled agent:  1 ; Episode Return:  -858.0020920410539 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 6
Episode:  17 controlled agent:  1 ; Episode Return:  -999.2569260369933 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 6
Episode:  18 controlled agent:  1 ; Episode Return:  -1287.4894654563473 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 7
Episode:  19 controlled agent:  1 ; Episode Return:  -1299.0458146424517 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 8
Episode:  20 controlled agent:  1 ; Episode Return:  -1288.4600282048245 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 8
Episode:  21 controlled agent:  1 ; Episode Return:  -122.0 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 8
Episode:  22 controlled agent:  1 ; Episode Return:  -1026.0559159102168 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 9
Episode:  23 controlled agent:  1 ; Episode Return:  -910.7005768508891 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 9
Episode:  24 controlled agent:  1 ; Episode Return:  -1151.8792924010804 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 10
Episode:  25 controlled agent:  1 ; Episode Return:  -1075.7371567773494 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 10
Episode:  26 controlled agent:  1 ; Episode Return:  -1207.1219330881995 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 10
Episode:  27 controlled agent:  1 ; Episode Return:  -360.0 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 11
Episode:  28 controlled agent:  1 ; Episode Return:  -809.0193359837565 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 12
Episode:  29 controlled agent:  1 ; Episode Return:  -994.2569260369933 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 13
Episode:  30 controlled agent:  1 ; Episode Return:  -1298.974746830586 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 14
Episode:  31 controlled agent:  1 ; Episode Return:  -794.4041122946069 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 14
Episode:  32 controlled agent:  1 ; Episode Return:  -1148.678282274304 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 15
Episode:  33 controlled agent:  1 ; Episode Return:  -938.6194077712584 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 15
Episode:  34 controlled agent:  1 ; Episode Return:  -1114.4356415871844 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 15
Episode:  35 controlled agent:  1 ; Episode Return:  -1027.5706345359781 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 16
Episode:  36 controlled agent:  1 ; Episode Return:  -1146.322943214976 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 17
Episode:  37 controlled agent:  1 ; Episode Return:  -1195.9797974644684 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 18
Episode:  38 controlled agent:  1 ; Episode Return:  -1120.0092347159912 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 18
Episode:  39 controlled agent:  1 ; Episode Return:  -676.622366364086 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 18
Episode:  40 controlled agent:  1 ; Episode Return:  -1266.0752518939744 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 19
Episode:  41 controlled agent:  1 ; Episode Return:  -1137.778787337692 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 19
Episode:  42 controlled agent:  1 ; Episode Return:  -1215.8082245892147 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 20
Episode:  43 controlled agent:  1 ; Episode Return:  -985.9554108468285 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 20
Episode:  44 controlled agent:  1 ; Episode Return:  -711.7056274847716 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 21
Episode:  45 controlled agent:  1 ; Episode Return:  -1164.9087296526031 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 22
Episode:  46 controlled agent:  1 ; Episode Return:  -1288.6316010800783 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 22
Episode:  47 controlled agent:  1 ; Episode Return:  -962.7716446627546 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 22
Episode:  48 controlled agent:  1 ; Episode Return:  -880.5706345359781 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 23
Episode:  49 controlled agent:  1 ; Episode Return:  -1229.4478348960047 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 23
Episode:  50 controlled agent:  1 ; Episode Return:  -298.0710678118655 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 23
Episode:  51 controlled agent:  1 ; Episode Return:  -1053.6122650963207 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 24
