{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_hit_wall'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_hit_wall
Episode:  42 controlled agent:  1 ; Episode Return:  -1125.369624409202 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 23
Episode:  43 controlled agent:  1 ; Episode Return:  -1301.369624409202 ; win rate(controlled & opponent):  0.58 0.42 ; Trained episode: 24
Episode:  44 controlled agent:  1 ; Episode Return:  -1197.7960312803953 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 25
Episode:  45 controlled agent:  1 ; Episode Return:  -928.989898732234 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 26
Episode:  46 controlled agent:  1 ; Episode Return:  -987.8427124746204 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 27
Episode:  47 controlled agent:  1 ; Episode Return:  -1095.3452377915619 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 28
Episode:  48 controlled agent:  1 ; Episode Return:  -895.9411254969542 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 29
Episode:  49 controlled agent:  1 ; Episode Return:  -1215.8082245892151 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 30
Episode:  50 controlled agent:  1 ; Episode Return:  -1305.1980515339483 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 31
Episode:  51 controlled agent:  1 ; Episode Return:  -1395.4945160902303 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 31
Episode:  52 controlled agent:  1 ; Episode Return:  -1393.0264786586945 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 31
Episode:  53 controlled agent:  1 ; Episode Return:  -979.5756851698609 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 32
Episode:  54 controlled agent:  1 ; Episode Return:  -1092.0264786586945 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 33
Episode:  55 controlled agent:  1 ; Episode Return:  -974.7056274847721 ; win rate(controlled & opponent):  0.64 0.36 ; Trained episode: 34
Episode:  56 controlled agent:  1 ; Episode Return:  -1023.4802307403553 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 35
Episode:  57 controlled agent:  1 ; Episode Return:  -1004.5584412271585 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 35
Episode:  58 controlled agent:  1 ; Episode Return:  -1397.8549057834407 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 36
Episode:  59 controlled agent:  1 ; Episode Return:  -1410.2468247692286 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 36
Episode:  60 controlled agent:  1 ; Episode Return:  -1442.7026688919445 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 36
Episode:  61 controlled agent:  1 ; Episode Return:  -1418.0458146424521 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 36
Episode:  62 controlled agent:  1 ; Episode Return:  -1133.7127701597096 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 36
Episode:  63 controlled agent:  1 ; Episode Return:  -1274.783837971575 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 37
Episode:  64 controlled agent:  1 ; Episode Return:  -1236.2102448427681 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 38
Episode:  65 controlled agent:  1 ; Episode Return:  -1111.925973595306 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 39
Episode:  66 controlled agent:  1 ; Episode Return:  -927.9066376115486 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 40
Episode:  67 controlled agent:  1 ; Episode Return:  -1318.5828278447984 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 41
Episode:  68 controlled agent:  1 ; Episode Return:  -1412.7665940288725 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 41
Episode:  69 controlled agent:  1 ; Episode Return:  -1225.5533905932757 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 41
Episode:  70 controlled agent:  1 ; Episode Return:  -1093.7422074112324 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 41
Episode:  71 controlled agent:  1 ; Episode Return:  -1433.9747468305864 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 42
Episode:  72 controlled agent:  1 ; Episode Return:  -990.4041122946073 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 42
Episode:  73 controlled agent:  1 ; Episode Return:  -973.291413922399 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 43
Episode:  74 controlled agent:  1 ; Episode Return:  -1284.8549057834407 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 44
Episode:  75 controlled agent:  1 ; Episode Return:  -1331.4772721475279 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 45
Episode:  76 controlled agent:  1 ; Episode Return:  -1334.1686142824256 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 45
Episode:  77 controlled agent:  1 ; Episode Return:  -714.112698372208 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 45
Episode:  78 controlled agent:  1 ; Episode Return:  -1417.3889603929597 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 46
Episode:  79 controlled agent:  1 ; Episode Return:  -1066.2203461105332 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 46
Episode:  80 controlled agent:  1 ; Episode Return:  -1222.3107499061566 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 47
Episode:  81 controlled agent:  1 ; Episode Return:  -916.0487732352794 ; win rate(controlled & opponent):  0.59 0.41 ; Trained episode: 47
Episode:  82 controlled agent:  1 ; Episode Return:  -990.859956417323 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 48
Episode:  83 controlled agent:  1 ; Episode Return:  -1192.3645737753195 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 49
Episode:  84 controlled agent:  1 ; Episode Return:  -1368.5411972844558 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 50
Episode:  85 controlled agent:  1 ; Episode Return:  -1074.9432175380089 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 51
Episode:  86 controlled agent:  1 ; Episode Return:  -1083.6538956566642 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 51
Episode:  87 controlled agent:  1 ; Episode Return:  -1051.1787155501906 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 52
Episode:  88 controlled agent:  1 ; Episode Return:  -1197.6711395993666 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 53
Episode:  89 controlled agent:  1 ; Episode Return:  -1010.055915910217 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 54
Episode:  90 controlled agent:  1 ; Episode Return:  -1283.5067093990506 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 55
Episode:  91 controlled agent:  1 ; Episode Return:  -1108.1808075912454 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 55
Episode:  92 controlled agent:  1 ; Episode Return:  -1262.381817718022 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 56
Episode:  93 controlled agent:  1 ; Episode Return:  -1212.666088965484 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 56
Episode:  94 controlled agent:  1 ; Episode Return:  -923.0832611206852 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 56
Episode:  95 controlled agent:  1 ; Episode Return:  -1305.6122650963212 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 57
