{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  39 controlled agent:  1 ; Episode Return:  -828.3746750430843 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 14
Episode:  40 controlled agent:  1 ; Episode Return:  -517.8406204335658 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 14
Episode:  41 controlled agent:  1 ; Episode Return:  -964.936074863071 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 14
Episode:  42 controlled agent:  1 ; Episode Return:  -616.1543289325506 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 15
Episode:  43 controlled agent:  1 ; Episode Return:  -1076.9116882454314 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 15
Episode:  44 controlled agent:  1 ; Episode Return:  -107.87005768508875 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 15
Episode:  45 controlled agent:  1 ; Episode Return:  -1136.624458405141 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 16
Episode:  46 controlled agent:  1 ; Episode Return:  -1026.7817459305202 ; win rate(controlled & opponent):  0.35 0.65 ; Trained episode: 16
Episode:  47 controlled agent:  1 ; Episode Return:  -1067.381817718022 ; win rate(controlled & opponent):  0.36 0.64 ; Trained episode: 16
Episode:  48 controlled agent:  1 ; Episode Return:  -308.79898987322326 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 17
Episode:  49 controlled agent:  1 ; Episode Return:  -337.7989898732233 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 18
Episode:  50 controlled agent:  1 ; Episode Return:  -323.7989898732233 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 19
Episode:  51 controlled agent:  1 ; Episode Return:  -468.936074863071 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 20
Episode:  52 controlled agent:  1 ; Episode Return:  -837.3624817342642 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 20
