{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 11, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map11_use_hit_wall'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map11_use_hit_wall
Episode:  1 controlled agent:  1 ; Episode Return:  -1496.8893936688464 ; win rate(controlled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -1631.984848098352 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -1978.139177030903 ; win rate(controlled & opponent):  0.33 0.67 ; Trained episode: 1
Episode:  4 controlled agent:  1 ; Episode Return:  -1782.2518754031114 ; win rate(controlled & opponent):  0.25 0.75 ; Trained episode: 1
Episode:  5 controlled agent:  1 ; Episode Return:  -1754.2102448427686 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -1366.2274887854715 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 2
Episode:  7 controlled agent:  1 ; Episode Return:  -1871.2640687119315 ; win rate(controlled & opponent):  0.43 0.57 ; Trained episode: 3
Episode:  8 controlled agent:  1 ; Episode Return:  -1856.4062043356626 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 3
Episode:  9 controlled agent:  1 ; Episode Return:  -1593.1320343559655 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 4
Episode:  10 controlled agent:  1 ; Episode Return:  -1489.2274887854715 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 5
Episode:  11 controlled agent:  1 ; Episode Return:  -1997.3940110268425 ; win rate(controlled & opponent):  0.55 0.45 ; Trained episode: 6
Episode:  12 controlled agent:  1 ; Episode Return:  -1647.4873734152932 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 6
Episode:  13 controlled agent:  1 ; Episode Return:  -1126.2031021678313 ; win rate(controlled & opponent):  0.54 0.46 ; Trained episode: 6
Episode:  14 controlled agent:  1 ; Episode Return:  -1270.3452377915623 ; win rate(controlled & opponent):  0.57 0.43 ; Trained episode: 7
Episode:  15 controlled agent:  1 ; Episode Return:  -1982.6488450227819 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 8
Episode:  16 controlled agent:  1 ; Episode Return:  -1306.7716446627555 ; win rate(controlled & opponent):  0.56 0.44 ; Trained episode: 8
Episode:  17 controlled agent:  1 ; Episode Return:  -1473.3279938488595 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 9
Episode:  18 controlled agent:  1 ; Episode Return:  -1984.5777772109163 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 9
Episode:  19 controlled agent:  1 ; Episode Return:  -1671.7665940288728 ; win rate(controlled & opponent):  0.53 0.47 ; Trained episode: 9
Episode:  20 controlled agent:  1 ; Episode Return:  -1365.7005768508898 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 10
Episode:  21 controlled agent:  1 ; Episode Return:  -1785.6538956566644 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 10
Episode:  22 controlled agent:  1 ; Episode Return:  -1122.9482681718919 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 10
Episode:  23 controlled agent:  1 ; Episode Return:  -1796.9087296526038 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 11
Episode:  24 controlled agent:  1 ; Episode Return:  -1989.8082245892156 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 11
Episode:  25 controlled agent:  1 ; Episode Return:  -1891.2518754031114 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 11
Episode:  26 controlled agent:  1 ; Episode Return:  -1460.6295090390245 ; win rate(controlled & opponent):  0.42 0.58 ; Trained episode: 11
Episode:  27 controlled agent:  1 ; Episode Return:  -1894.5533905932762 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 11
